UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,SUBTAGS,COMMENTS
7372d6ec-34a8-4183-80a5-3b1bf703d753,"διὸ Μάκρις
ὠνομάσθη, μῆκος σταδίων ˏαψ",char-offset:11828,EVENT,,,,,,,extent,absolute,
57c37133-e2ad-4d92-8000-d1379dbc3e02,Μάκρις,char-offset:11832,PLACE,http://pleiades.stoa.org/places/540775,"Euboea (island)|Euboea Ins., Euboia",38.53,23.87,island,VERIFIED,natural feature|island,,
472a1f71-9de1-4281-bafd-a81134a8d363,"ἡ δὲ Κρήτη κατὰ Μαλέαν πλησιάζει
Πελοποννήσῳ",char-offset:11870,EVENT,,,,,,,position,relative,
9d91e7a8-343e-4605-95d1-18688563e43a,Κρήτη,char-offset:11875,PLACE,http://pleiades.stoa.org/places/589748,Creta (island),35.21984238526285,24.995769875612147,island,VERIFIED,natural feature|island,,
95621453-59f0-4c14-a6a8-0d726c421a41,Μαλέαν,char-offset:11886,PLACE,http://pleiades.stoa.org/places/570455,"Malea Pr.|Malea Pr., Akr. Maleas",36.43603,23.19975,cape,VERIFIED,natural feature|promontory,,
85cc0d98-f4d2-4653-bd85-751a5353dab7,Πελοποννήσῳ,char-offset:11903,PLACE,http://pleiades.stoa.org/places/570577,Peloponnesus/Peloponnesos/Peloponnese,37.25289777692308,22.312752688461543,"peninsula,region",VERIFIED,natural feature,,
64c23dbf-9962-41b7-bb4e-165b9bd7e61a,περίμετρος δὲ αὐτῆς σταδίων ˏδρ μῆκος ˏβτ,char-offset:11916,EVENT,,,,,,,extent,absolute,
9d491ff2-5150-4d48-a1d9-1d6c04043cc8,"κατὰ
Πολὺ γὰρ μεμήκυται",char-offset:11960,EVENT,,,,,,,extent,relative,
5e58c327-1c63-4ab7-ad07-8f3bdf63aaf9,Κύθηρα,char-offset:11985,PLACE,http://pleiades.stoa.org/places/570186,"Cythera Ins.|Cythera Ins., Kythira",36.26229,22.97822,island,VERIFIED,natural feature|island,,
4bd33e54-edae-43d0-8dc2-c9eb1259b1fb,Κύθηρα μέσον Κρήτης καὶ Λακωνικῆς.,char-offset:11985,EVENT,,,,,,,extent,relative,
