Event string,Formalized reconstruction,Passage (CTS URN),Locus ,Type,Absolute/Relative
ἐπὶ Πάχυνον Σικελίας στάδια ˏδ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,distance,absolute
"ἐπὶ
Λιλύβαιον  (διὰ Λιβυκοῦ πελάγους) στάδια ˏαφκ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,distance,absolute
"ἐπὶ δὲ Κάραλιν
Σαρδοῦς (διὰ Τυρσηνικοῦ πελάγους) στάδια ˏαω",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,distance,absolute
ἐπὶ Γάδειρα (ὑπερπλεύσαντι Γυμνησίας  νήσους) στάδια μύρια,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,distance,absolute
"ἀπὸ Γαδείρων δὲ (διὰ Ἱεροῦ
ἀκρωτηρίου καὶ Ἀρτάβρων λιμένος) στάδιοι ˏζ↑λβ",ADP ἀπό + SBJ (?),urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.16,4.16,distance,absolute
"ἀπὸ Γάγγου ἕως Εὐφράτου
ποταμοῦ μυριάδων τεσσάρων καὶ χιλίων τν",ADP ἀπό + ADP ἕως + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἀπὸ Εὐφράτου εἰς Μάζακα
Καππαδοκῶν στάδια ˏα↑ν",ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἀπὸ δὲ  Μαζάκων (διὰ Φρυγίας τῆς παρορίου
καὶ μεγάλης καὶ Καρίας) ἕως Ἐφέσου στάδιοι ˏζ↑ϟ",ADP ἀπό + ADP ἕως + SBJ (?),urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἀπὸ Γάγγου
εἰς Ἔφεσον σταδίων μυριάδων τεσσάρων καὶ ˏζσϟ",ADP ἀπό + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἀπὸ δὲ
Ἐφέσου εἰς Δῆλον (διὰ τοῦ Αἰγαίου) στάδια ˏαχ",ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
ἐπὶ Ἰσθμὸν στάδια ˏαψ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
ἀπὸ Ἰσθμοῦ (διὰ Κορινθίου κόλπου) εἰς Πάτρας στάδια ψκ,ADP ἀπό + ADP εἰς + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἐπὶ Λευκάδα
στάδια ψ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
ἐπὶ Κόρκυραν στάδια ψ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἐπ’ Ἀκροκεραύνια ὄρη στάδια
χξ",ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
ἐπὶ Βρεντέσιον στάδια ψ,ADP ἐπί + ACC.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἀπὸ Βρεντεσίου (πεζῇ ὁδεύοντι) ἕως
 ῾Ρώμης στάδια ˏβωπ",ADP ἀπό + ADP ἕως + ACC.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
"ἀπὸ Ῥώμης (ἐπὶ τὰς ῎Αλπεις) ἕως Σκιγγομάγου
κώμης (ὑπὸ ταῖς Ἄλπεσιν οὔσης) στάδια ˏδρνβ",ADP ἀπό + ADP ἕως + ACC.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.17,4.17,distance,absolute
